"","Year","TFR_female","State","TFR_male","TFR_adj","HDI","HLI_male","HLI_female","LE_male","LE_female","lag_HDI","lag_HLI_female","lag_HLI_male","lag_LE_female","lag_LE_male","lag_HDI2","lag_HLI_female2","lag_HLI_male2","lag_LE_female2","lag_LE_male2","Division"
"77",1995,1.9157720168217,"Indiana",1.89241519715751,2.08833518851125,0.876,66.0747176925285,72.954434948001,72.48,78.45,0.875,73.0080659619032,65.845248675005,78.62,72.43,0.765625,5330.1776954976,4335.59677307325,6181.1044,5246.1049,"Midwest"
"78",1996,1.94039023468881,"Indiana",1.91373995989647,2.06349649873789,0.878,66.5761490274892,73.1578902551246,72.92,78.7,0.876,72.954434948001,66.0747176925285,78.45,72.48,0.767376,5322.34957858211,4365.86831814734,6154.4025,5253.3504,"Midwest"
"79",1997,1.9514273755529,"Indiana",1.91975640733399,2.05091045248795,0.88,66.9703948372523,73.5510357810706,73.11,78.84,0.878,73.1578902551246,66.5761490274892,78.7,72.92,0.770884,5352.07690658086,4432.38361933045,6193.69,5317.3264,"Midwest"
"80",1998,2.00241963611277,"Indiana",1.96401731746499,2.13144183093638,0.885,67.4490555356116,73.7116649821568,73.29,78.89,0.88,73.5510357810706,66.9703948372523,78.84,73.11,0.7744,5409.75486446833,4485.03378465747,6215.7456,5345.0721,"Midwest"
"81",1999,2.03305410094496,"Indiana",1.98753046181958,2.22699107551272,0.88,66.9474566304055,73.5675923810955,73.24,78.57,0.885,73.7116649821568,67.4490555356116,78.89,73.29,0.783225,5433.40955444172,4549.37509264602,6223.6321,5371.4241,"Midwest"
"82",2000,2.07851867684988,"Indiana",2.03341004379809,2.3187147086065,0.882,67.3577218063421,73.2657045299134,73.32,78.58,0.88,73.5675923810955,66.9474566304055,78.57,73.24,0.7744,5412.19064875102,4481.96194928002,6173.2449,5364.0976,"Midwest"
"83",2001,2.05644078575981,"Indiana",2.01486919589734,2.28613780048319,0.881,67.6772963730574,73.9154915175346,73.5,78.93,0.882,73.2657045299134,67.3577218063421,78.58,73.32,0.777924,5367.86346026458,4537.06268694057,6174.8164,5375.8224,"Midwest"
"84",2002,2.0264485593085,"Indiana",1.9898240703067,2.24034937455043,0.882,67.8436016718253,73.9645058721543,73.75,78.95,0.881,73.9154915175346,67.6772963730574,78.93,73.5,0.776161,5463.49988627874,4580.21644436665,6229.9449,5402.25,"Midwest"
"85",2003,2.0581090894817,"Indiana",2.02428770208283,2.22983142339206,0.884,67.5540744834586,74.2675432844994,73.7,79.02,0.882,73.9645058721543,67.8436016718253,78.95,73.75,0.777924,5470.74812891194,4602.7542878053,6233.1025,5439.0625,"Midwest"
"86",2004,2.07114407206725,"Indiana",2.0430493411446,2.24373316630105,0.887,68.3158274383511,73.8983296485824,74.3,79.34,0.884,74.2675432844994,67.5540744834586,79.02,73.7,0.781456,5515.667985515,4563.55297931667,6244.1604,5431.69,"Midwest"
"87",2005,2.059,"Indiana",NA,NA,0.887,67.9073826103412,74.0139010808264,74.15,79.22,0.887,73.8983296485824,68.3158274383511,79.34,74.3,0.786769,5460.96312485055,4667.05227858656,6294.8356,5520.49,"Midwest"
"88",2006,2.0815,"Indiana",NA,NA,0.89,68.0743638975017,73.986071613145,74.16,79.46,0.887,74.0139010808264,67.9073826103412,79.22,74.15,0.786769,5478.05755320235,4611.41261298728,6275.8084,5498.2225,"Midwest"
"89",2007,2.1185,"Indiana",NA,NA,0.893,68.830801233706,74.7534577328477,74.86,79.87,0.89,73.986071613145,68.0743638975017,79.46,74.16,0.7921,5473.93879274542,4634.11902004948,6313.8916,5499.7056,"Midwest"
"90",2008,2.0935,"Indiana",NA,NA,0.893,68.820032475863,74.9133913028223,74.61,79.64,0.893,74.7534577328477,68.830801233706,79.87,74.86,0.797449,5588.07944301664,4737.67919847394,6379.2169,5604.0196,"Midwest"
"91",2009,2.028,"Indiana",NA,NA,0.893,69.0880482816612,74.419376961982,74.93,79.84,0.893,74.9133913028223,68.820032475863,79.64,74.61,0.797449,5612.01619648977,4736.19686997884,6342.5296,5566.6521,"Midwest"
"92",2010,1.965,"Indiana",NA,NA,0.898,69.0010217489848,75.1756419323698,74.99,80.01,0.893,74.419376961982,69.0880482816612,79.84,74.93,0.797449,5538.24366740958,4773.15841536914,6374.4256,5614.5049,"Midwest"
"93",2011,1.9515,"Indiana",NA,NA,0.9,68.9137285928162,74.8375042715024,74.93,79.89,0.898,75.1756419323698,69.0010217489848,80.01,74.99,0.806404,5651.37713994388,4761.14100240387,6401.6001,5623.5001,"Midwest"
"94",2012,1.933,"Indiana",NA,NA,0.902,69.2826993578151,75.3528230356299,74.93,79.99,0.9,74.8375042715024,68.9137285928162,79.89,74.93,0.81,5600.65204558714,4749.10198856434,6382.4121,5614.5049,"Midwest"
"95",2013,1.9185,"Indiana",NA,NA,0.904,69.1864223707523,74.7002809215493,74.81,79.82,0.902,75.3528230356299,69.2826993578151,79.99,74.93,0.813604,5678.04793943895,4800.09243030539,6398.4001,5614.5049,"Midwest"
"96",2014,1.9325,"Indiana",NA,NA,0.906,69.0912914254417,75.0934853736257,74.94,79.87,0.904,74.7002809215493,69.1864223707523,79.82,74.81,0.817216,5580.13196975839,4786.76104046414,6371.2324,5596.5361,"Midwest"
"97",2015,1.927,"Indiana",NA,NA,0.906,68.8078720568327,74.672668158358,74.76,79.64,0.906,75.0934853736257,69.0912914254417,79.87,74.94,0.820836,5639.03154555894,4773.60655083531,6379.2169,5616.0036,"Midwest"
"98",2016,1.902,"Indiana",NA,NA,0.908,68.3923060201167,74.5737098635458,74.4,79.77,0.906,74.672668158358,68.8078720568327,79.64,74.76,0.820836,5576.00736988826,4734.52325698945,6342.5296,5589.0576,"Midwest"
